rank,lemma,freq,perMil
8,i,14217601,14317.5
9,you,12079413,12164.29
10,it,11042044,11119.63
16,he,6467470,6512.91
21,we,5180711,5217.11
25,they,4503650,4535.29
35,she,3188078,3210.48
41,me,2638743,2657.28
44,who,2493429,2510.95
65,him,1717209,1729.27
66,them,1701589,1713.54
101,one,999446,1006.47
102,us,992207,999.18
106,her,959780,966.52
123,something,779903,785.45
245,anything,384508,387.21
246,nothing,383744,386.44
302,someone,328998,331.31
309,everything,323760,326.03
405,everyone,241313,243.01
428,himself,228757,230.36
463,anyone,207907,209.37
517,themselves,188414,189.74
527,myself,183232,184.52
571,yourself,168841,170.03
626,itself,154505,155.59
709,everybody,136787,137.75
733,other,132728,133.66
741,each,130754,131.67
746,no,130206,131.12
840,somebody,115363,116.17
941,herself,102154,102.87
975,nobody,99029,99.72
1047,none,92729,93.38
1161,whom,83267,83.85
1251,anybody,77150,77.69
1501,lots,63604,64.05
1624,mine,58009,58.42
1682,ourselves,54951,55.34
1838,plenty,49361,49.71
1925,yours,46632,46.96
2066,his,42776,43.08
2613,another,30791,31.01
3439,whoever,21251,21.4
3791,ours,18321,18.45
4213,hers,15685,15.8
4919,thou,12383,12.47
