id	lemma	pos
1	barrel	n
2	barrel	v
4	barren	a
5	barricade	n
6	barricade	v
7	barricaded	a
8	barrier	n
9	barrio	n
10	barrister	n
11	barrow	n
13	bartender	n
14	barter	n
15	barter	v
16	basal	a
17	basalt	n
18	base	a
19	base	n
20	base	v
21	baseball	n
22	based	a
23	baseless	a
24	baseline	n
25	basement	n
26	bash	n
27	bash	v
28	basic	a
29	basic	n
31	basil	n
32	basilica	n
33	basilisk	n
34	basin	n
36	bask	v
37	basket	n
38	basketball	n
39	basketry	n
42	bassist	n
43	bassoon	n
44	basswood	n
45	bastard	a
46	bastard	n
47	bastion	n
48	bat	n
49	bat	v
50	batch	n
51	batch	v
52	bath	n
53	bathe	v
54	bathhouse	n
55	bathing	n
56	bathroom	n
57	bathtub	n
58	batik	n
59	baton	n
60	batsman	n
61	battalion	n
62	batten	n
63	batten	v
64	batter	n
65	batter	v
66	battered	a
67	battering	n
68	battery	n
69	batting	n
70	battle	n
71	battle	v
72	battlefield	n
73	battlefront	n
74	battleground	n
75	battler	n
76	battleship	n
77	bauxite	n
78	bawdy	a
79	bay	a
80	bay	n
81	bay	v
82	bayonet	n
83	bayonet	v
84	bayou	n
85	bazaar	n
86	bazooka	n
87	beach	n
88	beach	v
89	beachfront	n
90	beachhead	n
91	beacon	n
92	beacon	v
93	bead	n
94	bead	v
95	beaded	a
97	beadwork	n
98	beagle	n
99	beak	n
100	beaked	a
101	beaker	n
102	beam	n
103	beam	v
104	beaming	a
105	bean	n
106	beanie	n
107	beanstalk	n
108	bear	n
109	bear	v
110	beard	n
111	beard	v
112	bearded	a
113	bearer	n
114	bearing	a
115	bearing	n
116	bearskin	n
117	beast	n
118	beat	a
119	beat	n
120	beat	v
121	beaten	a
122	beater	n
123	beating	n
124	beatnik	n
126	beau	n
127	beautification	n
128	beautiful	a
129	beautify	v
130	beauty	n
131	beaver	n
132	beaver	v
133	bebop	n
134	become	v
135	becoming	a
136	bed	n
137	bed	v
138	bedchamber	n
139	bedded	a
140	bedding	n
141	bedlam	n
142	bedridden	a
143	bedrock	n
144	bedroom	n
145	bedside	n
146	bedtime	n
147	bee	n
148	beech	n
149	beechwood	n
150	beef	n
151	beef	v
152	beefcake	n
153	beehive	n
154	beekeeper	n
155	beekeeping	n
156	beep	n
157	beep	v
158	breton	n
159	bride	n
161	brie	n
162	brit	n
164	brother	n
165	brown	n
166	brownie	n
167	buck	n
168	buckeye	n
169	buddhism	n
170	buddhist	a
171	buddhist	n
172	buffalo	n
173	bull	n
174	burger	n
175	burgundy	n
176	burr	n
177	bush	n
178	bushido	n
179	bushman	n
180	butler	n
181	butte	n
182	byzantine	a
183	byzantine	n
184	cad	n
185	cat	n
186	cbc	n
187	cdc	n
188	ceo	n
189	cfc	n
190	cfl	n
191	cfo	n
192	cia	n
193	cio	n
196	cobol	n
197	core	n
198	cpa	n
199	cpi	n
200	cpr	n
201	cpu	n
202	crt	n
203	cst	n
204	cabernet	n
205	caesar	n
206	caesarean	a
207	cage	n
208	cajun	n
209	beer	n
210	beeswax	n
211	beet	n
212	beetle	n
213	befall	v
214	befitting	a
215	beforehand	a
216	befriend	v
217	beg	v
218	beggar	n
219	beggar	v
220	begging	n
221	begin	v
222	beginner	n
223	beginning	a
224	beginning	n
225	begonia	n
226	begotten	a
227	beguiling	a
228	behalf	n
229	behave	v
230	behavior	n
231	behavioral	a
232	behaviorism	n
233	behaviour	n
234	behavioural	a
235	behead	v
236	beheaded	a
237	beheading	n
238	behemoth	n
239	behest	n
240	behold	v
241	beholden	a
242	beholder	n
243	beige	a
244	beige	n
245	being	n
246	belated	a
247	belay	v
248	belfry	n
249	belief	n
250	believable	a
251	believe	v
252	believer	n
253	believing	n
254	bell	n
255	bell	v
256	belladonna	n
257	belle	n
258	bellflower	n
259	bellied	a
260	belligerent	a
261	belligerent	n
262	bellman	n
263	bellow	n
264	bellow	v
266	bellwether	n
267	belly	n
268	belly	v
269	belong	v
270	belonging	n
272	beloved	a
273	beloved	n
274	belt	n
275	belt	v
276	belted	a
277	belting	n
278	beltway	n
279	beluga	n
280	bemused	a
281	bench	n
282	bench	v
283	benchmark	n
284	bend	n
285	bend	v
286	bender	n
287	bending	n
289	benediction	n
290	benefactor	n
291	beneficent	a
292	beneficial	a
293	beneficiary	a
294	beneficiary	n
295	benefit	n
296	benefit	v
