id	lemma	pos
1	barren	a
2	barricaded	a
3	basal	a
4	base	a
5	based	a
6	baseless	a
7	basic	a
8	bastard	a
9	battered	a
10	bawdy	a
11	bay	a
12	beaded	a
13	beaked	a
14	beaming	a
15	bearded	a
16	bearing	a
17	beat	a
18	beaten	a
19	beautiful	a
20	becoming	a
21	bedded	a
22	bedridden	a
23	buddhist	a
24	byzantine	a
25	caesarean	a
26	befitting	a
27	beforehand	a
28	beginning	a
29	begotten	a
30	beguiling	a
31	behavioral	a
32	behavioural	a
33	beheaded	a
34	beholden	a
35	beige	a
36	belated	a
37	believable	a
38	bellied	a
39	belligerent	a
40	beloved	a
41	belted	a
42	bemused	a
43	beneficent	a
44	beneficial	a
45	beneficiary	a
46	benevolent	a
47	benign	a
48	bent	a
49	bereaved	a
50	bereft	a
51	berserk	a
52	besieged	a
53	bespoke	a
54	bestial	a
55	beta	a
56	betrothed	a
57	bettering	a
58	betting	a
59	bewildered	a
60	bewitched	a
61	bewitching	a
62	biannual	a
63	biased	a
64	biblical	a
65	bibliographic	a
66	bibliographical	a
67	bicameral	a
68	bicentenary	a
69	bicentennial	a
70	bicolor	a
71	bidirectional	a
72	biennial	a
73	bifurcated	a
74	big	a
75	bigger	a
76	bigoted	a
77	bilateral	a
78	bilingual	a
79	billed	a
80	billiard	a
81	billion	a
82	billowing	a
83	bimonthly	a
84	binary	a
85	binaural	a
86	binding	a
87	binocular	a
88	biochemical	a
89	biodegradable	a
90	biographical	a
91	biologic	a
92	biological	a
93	bioluminescent	a
94	biomedical	a
95	bionic	a
96	biotic	a
97	bipartisan	a
98	bipartite	a
99	bipedal	a
100	bipolar	a
101	biracial	a
102	birch	a
103	bisexual	a
104	biting	a
105	bitter	a
106	bittersweet	a
107	biweekly	a
108	bizarre	a
109	black	a
110	blackened	a
111	blackish	a
112	bladed	a
113	blame	a
114	blamed	a
115	blameless	a
116	bland	a
117	blank	a
118	blanket	a
119	blanketed	a
120	blasphemous	a
121	blasted	a
122	blasting	a
123	blatant	a
124	blazing	a
125	bleached	a
126	bleak	a
127	blended	a
128	blessed	a
129	blighted	a
130	blind	a
131	blinded	a
132	blindfold	a
133	blindfolded	a
134	blinding	a
135	blinking	a
136	blissful	a
137	blistering	a
138	blithe	a
139	bloated	a
140	blockaded	a
141	blockading	a
142	blocked	a
143	blocky	a
144	blond	a
145	blonde	a
146	blooded	a
147	bloodless	a
148	bloodshot	a
149	bloodstained	a
150	bloodthirsty	a
151	bloody	a
152	blooming	a
153	blotched	a
154	blown	a
155	blue	a
156	bluff	a
157	bluish	a
158	blunt	a
159	blunted	a
160	blurred	a
161	blurry	a
162	blushing	a
163	boastful	a
164	bobtail	a
165	bodied	a
166	bodily	a
167	boggy	a
168	bogus	a
169	bohemian	a
170	boiled	a
171	boisterous	a
172	bold	a
173	bombastic	a
174	bone	a
175	boned	a
176	boneless	a
177	bonkers	a
178	bonnie	a
179	bonny	a
180	bony	a
181	bookable	a
182	booked	a
183	bookish	a
184	booming	a
185	boon	a
186	booted	a
187	bootleg	a
188	bordered	a
189	borderline	a
190	boreal	a
191	bored	a
192	boring	a
193	born	a
194	bossy	a
195	botanic	a
196	botanical	a
197	botched	a
198	bothered	a
199	bottom	a
200	bottomed	a
201	bottomless	a
202	bouncing	a
203	bouncy	a
204	bound	a
205	bounded	a
206	boundless	a
207	bountiful	a
208	bourgeois	a
209	bovine	a
210	bowed	a
211	bowing	a
212	boxed	a
213	boxy	a
214	boyish	a
215	braced	a
216	bracing	a
217	brackish	a
218	brag	a
219	bragging	a
220	braided	a
221	brainwashed	a
222	brainy	a
223	braised	a
224	branched	a
225	branching	a
226	branded	a
227	brash	a
228	brassy	a
229	brave	a
230	brazen	a
231	breakaway	a
232	breakneck	a
233	breasted	a
234	breathed	a
235	breathing	a
236	breathless	a
237	breathtaking	a
238	breeding	a
239	breezy	a
240	bridal	a
241	brief	a
242	bright	a
243	brilliant	a
244	brimming	a
245	brindle	a
246	brisk	a
247	bristly	a
248	brittle	a
249	broached	a
250	broad	a
251	broadband	a
252	broadleaf	a
253	broadside	a
254	broke	a
255	broken	a
256	bronchial	a
257	bronze	a
258	bronzy	a
259	brooding	a
260	brotherly	a
261	brown	a
262	brownish	a
263	bruising	a
264	brunet	a
265	brunette	a
266	brushed	a
267	brushy	a
268	brusque	a
269	brut	a
270	brutal	a
271	brute	a
272	brutish	a
273	bubbling	a
274	bubbly	a
275	bubonic	a
276	bucolic	a
277	budding	a
278	budgetary	a
279	buff	a
280	bugged	a
281	buggy	a
282	built	a
283	bulbous	a
284	bulging	a
285	bulky	a
286	bulletproof	a
287	bully	a
288	bullying	a
289	bum	a
290	bumbling	a
291	bumpy	a
292	buoyant	a
293	burdened	a
294	burdensome	a
295	bureaucratic	a
296	burgeoning	a
297	buried	a
298	burlesque	a
299	burly	a
300	burned	a
301	burning	a
302	burnished	a
303	burnt	a
304	burry	a
305	bush	a
306	bushy	a
307	bust	a
308	busted	a
309	bustling	a
310	busy	a
311	butch	a
312	buttery	a
313	buttoned	a
314	buttressed	a
315	buzzing	a
316	bygone	a
317	caesarean	a
318	calculated	a
319	calculating	a
320	calibrated	a
321	calico	a
322	caller	a
323	calligraphic	a
324	callous	a
325	callow	a
326	calm	a
327	caloric	a
328	camouflaged	a
329	camp	a
330	campy	a
331	canary	a
332	cancelled	a
333	cancerous	a
334	candid	a
335	canine	a
336	canned	a
337	cannibalistic	a
338	canny	a
339	canonical	a
340	canonised	a
341	canonized	a
342	cantankerous	a
343	canted	a
344	capable	a
345	capillary	a
346	capital	a
347	capitalist	a
348	capitalistic	a
349	capped	a
350	capricious	a
351	captivated	a
352	captivating	a
353	captive	a
354	caramel	a
355	carbonated	a
356	carcinogenic	a
357	cardboard	a
358	cardiac	a
359	cardinal	a
360	cardiovascular	a
361	carefree	a
362	careful	a
363	careless	a
364	caring	a
365	carmine	a
366	carnal	a
367	carnivorous	a
368	carpeted	a
369	carved	a
370	cased	a
371	cashed	a
372	castrated	a
373	casual	a
374	cataclysmic	a
375	calvinist	a
376	calvinistic	a
377	cambrian	a
378	carmelite	a
379	carolingian	a
380	cartesian	a
381	carthusian	a
382	catholic	a
383	caucasian	a
384	celtic	a
385	cenozoic	a
386	catastrophic	a
387	catching	a
388	catchy	a
389	categorical	a
390	categorised	a
391	categorized	a
392	cathartic	a
393	catholic	a
394	causal	a
395	causative	a
396	caustic	a
397	cautionary	a
398	cautious	a
399	cavalier	a
400	cavernous	a
401	ceaseless	a
402	celebrated	a
403	celebratory	a
404	celestial	a
405	celibate	a
406	cellular	a
407	censored	a
408	centenary	a
409	centennial	a
410	center	a
411	centered	a
412	central	a
413	centralised	a
414	centralized	a
415	centralizing	a
416	centre	a
417	centric	a
418	centrifugal	a
419	centrist	a
420	ceramic	a
421	cereal	a
422	cerebral	a
423	ceremonial	a
424	certain	a
425	certificated	a
426	certified	a
427	cerulean	a
428	chained	a
429	chalky	a
430	challenging	a
431	chambered	a
432	champion	a
433	chance	a
434	changeable	a
435	changed	a
436	changing	a
437	chanted	a
438	chaotic	a
439	characteristic	a
440	charcoal	a
441	chargeable	a
442	charged	a
443	charismatic	a
444	charitable	a
445	charmed	a
446	charming	a
447	chartered	a
448	chartreuse	a
449	chaste	a
450	chatty	a
451	cheap	a
452	cheating	a
453	checked	a
454	checkered	a
455	cheeky	a
456	cheerful	a
457	cheering	a
458	cheery	a
459	cheesy	a
460	chemical	a
461	chequered	a
462	cherished	a
463	cherry	a
464	chestnut	a
465	chewy	a
466	chic	a
467	chicken	a
468	chief	a
469	childbearing	a
470	childish	a
471	childless	a
472	childlike	a
473	chilling	a
474	chilly	a
475	chipper	a
476	chiseled	a
477	chivalric	a
478	chivalrous	a
479	choice	a
480	choked	a
481	choking	a
482	chopped	a
483	choppy	a
484	choral	a
485	choreographic	a
486	christian	a
487	chromatic	a
488	chronic	a
489	chronological	a
490	chubby	a
491	chunky	a
492	churning	a
493	cinematic	a
494	circadian	a
495	circuitous	a
496	circular	a
497	circulating	a
498	circulatory	a
499	circumscribed	a
500	circumstantial	a
501	citric	a
502	citywide	a
503	civic	a
504	civil	a
505	civilian	a
506	civilised	a
507	civilized	a
508	clad	a
509	clairvoyant	a
510	clandestine	a
511	clarifying	a
512	clarion	a
513	clashing	a
514	classic	a
515	classical	a
516	classified	a
517	classy	a
518	claustrophobic	a
519	clawed	a
520	clayey	a
521	clean	a
522	cleanly	a
523	cleansing	a
524	clear	a
525	cleared	a
526	cleft	a
527	clement	a
528	clenched	a
529	clerical	a
530	clever	a
531	climactic	a
532	climatic	a
533	clinched	a
534	clinical	a
535	clipped	a
536	cloaked	a
537	clockwise	a
538	clogged	a
539	clogging	a
540	cloistered	a
541	closed	a
542	closing	a
543	clothed	a
544	clouded	a
545	cloudy	a
546	clueless	a
547	clumsy	a
548	clunky	a
549	clustered	a
550	cluttered	a
551	coalesced	a
552	coalescing	a
553	coarse	a
554	coastal	a
555	coated	a
556	cockney	a
557	cocky	a
558	codified	a
559	coeducational	a
560	coercive	a
561	coexisting	a
562	cogent	a
563	cognate	a
564	cognitive	a
565	cognizant	a
566	coherent	a
567	cohesive	a
568	coiled	a
569	coiling	a
570	coincident	a
571	coincidental	a
572	coinciding	a
573	cold	a
574	collaborative	a
575	collapsible	a
576	collateral	a
577	collectable	a
578	collected	a
579	collectible	a
580	collective	a
581	collectivist	a
582	collegial	a
583	collegiate	a
584	colloquial	a
585	colonial	a
586	colonised	a
587	colonized	a
588	colonnaded	a
589	color	a
590	colored	a
591	colorful	a
592	colorless	a
593	colossal	a
594	colour	a
595	coloured	a
596	colourful	a
597	colourless	a
598	columnar	a
599	columned	a
600	comatose	a
601	combatant	a
602	combative	a
603	combed	a
604	combined	a
605	combustible	a
606	comfortable	a
607	comforted	a
608	comforting	a
609	comic	a
610	comical	a
611	coming	a
612	commanding	a
613	commemorating	a
614	commemorative	a
615	commendable	a
616	commensurate	a
617	commercial	a
618	commercialised	a
619	commercialized	a
620	commissioned	a
621	committed	a
622	commodious	a
623	common	a
624	commonplace	a
625	communal	a
626	communicable	a
627	communicative	a
628	communist	a
629	compact	a
630	comparable	a
631	comparative	a
632	compassionate	a
633	compatible	a
634	compelling	a
635	compensated	a
636	competent	a
637	competitive	a
638	complacent	a
639	complaining	a
640	complementary	a
641	complete	a
642	completed	a
643	completing	a
644	complex	a
645	compliant	a
646	complicated	a
647	complicit	a
648	complimentary	a
649	composed	a
650	composite	a
651	compositional	a
652	compound	a
653	compounded	a
654	comprehensible	a
655	comprehensive	a
656	compressed	a
657	compressible	a
658	compromising	a
659	compulsive	a
660	compulsory	a
661	computational	a
662	concave	a
663	concealed	a
664	concealing	a
665	conceited	a
666	conceivable	a
667	concentrated	a
668	concentric	a
669	conceptual	a
670	concerned	a
671	concerted	a
672	conciliatory	a
673	concise	a
674	concluded	a
675	concluding	a
676	conclusive	a
677	concomitant	a
678	concrete	a
679	concurrent	a
680	concurring	a
681	condemning	a
682	condescending	a
683	conditional	a
684	conditioned	a
685	conducive	a
686	conductive	a
687	confederate	a
688	confident	a
689	confidential	a
690	configured	a
691	confined	a
692	confining	a
693	confirmatory	a
694	confirmed	a
695	confirming	a
696	conflicting	a
697	confluent	a
698	conforming	a
699	conformist	a
700	confounded	a
701	confounding	a
702	confrontational	a
703	confused	a
704	confusing	a
705	congenial	a
706	congenital	a
707	congested	a
708	conglomerate	a
709	congratulatory	a
710	congregational	a
711	congressional	a
712	congruent	a
713	conic	a
714	conical	a
715	coniferous	a
716	conjectural	a
717	conjoined	a
718	conjoint	a
719	conjugal	a
720	conjugated	a
721	connected	a
722	connective	a
723	conniving	a
724	conscientious	a
725	conscious	a
726	consecrate	a
727	consecrated	a
728	consecutive	a
729	consensual	a
730	consenting	a
731	consequent	a
732	consequential	a
733	conservative	a
734	conserved	a
735	considerable	a
736	considerate	a
737	considered	a
738	consistent	a
739	consolidated	a
740	consonant	a
741	conspicuous	a
742	conspiratorial	a
743	constant	a
744	constituent	a
745	constituted	a
746	constitutional	a
747	constitutive	a
748	constrained	a
749	constraining	a
750	constricted	a
751	constructive	a
752	consular	a
753	consultative	a
