id	lemma	pos
1	barrel	n
2	barricade	n
3	barrier	n
4	barrio	n
5	barrister	n
6	barrow	n
7	bartender	n
8	barter	n
9	basalt	n
10	base	n
11	baseball	n
12	baseline	n
13	basement	n
14	bash	n
15	basic	n
16	basil	n
17	basilica	n
18	basilisk	n
19	basin	n
20	basket	n
21	basketball	n
22	basketry	n
23	bassist	n
24	bassoon	n
25	basswood	n
26	bastard	n
27	bastion	n
28	bat	n
29	batch	n
30	bath	n
31	bathhouse	n
32	bathing	n
33	bathroom	n
34	bathtub	n
35	batik	n
36	baton	n
37	batsman	n
38	battalion	n
39	batten	n
40	batter	n
41	battering	n
42	battery	n
43	batting	n
44	battle	n
45	battlefield	n
46	battlefront	n
47	battleground	n
48	battler	n
49	battleship	n
50	bauxite	n
51	bay	n
52	bayonet	n
53	bayou	n
54	bazaar	n
55	bazooka	n
56	beach	n
57	beachfront	n
58	beachhead	n
59	beacon	n
60	bead	n
61	beadwork	n
62	beagle	n
63	beak	n
64	beaker	n
65	beam	n
66	bean	n
67	beanie	n
68	beanstalk	n
69	bear	n
70	beard	n
71	bearer	n
72	bearing	n
73	bearskin	n
74	beast	n
75	beat	n
76	beater	n
77	beating	n
78	beatnik	n
79	beau	n
80	beautification	n
81	beauty	n
82	beaver	n
83	bebop	n
84	bed	n
85	bedchamber	n
86	bedding	n
87	bedlam	n
88	bedrock	n
89	bedroom	n
90	bedside	n
91	bedtime	n
92	bee	n
93	beech	n
94	beechwood	n
95	beef	n
96	beefcake	n
97	beehive	n
98	beekeeper	n
99	beekeeping	n
100	beep	n
101	breton	n
102	bride	n
103	brie	n
104	brit	n
105	brother	n
106	brown	n
107	brownie	n
108	buck	n
109	buckeye	n
110	buddhism	n
111	buddhist	n
112	buffalo	n
113	bull	n
114	burger	n
115	burgundy	n
116	burr	n
117	bush	n
118	bushido	n
119	bushman	n
120	butler	n
121	butte	n
122	byzantine	n
123	cad	n
124	cat	n
125	cbc	n
126	cdc	n
127	ceo	n
128	cfc	n
129	cfl	n
130	cfo	n
131	cia	n
132	cio	n
133	cobol	n
134	core	n
135	cpa	n
136	cpi	n
137	cpr	n
138	cpu	n
139	crt	n
140	cst	n
141	cabernet	n
142	caesar	n
143	cage	n
144	cajun	n
145	beer	n
146	beeswax	n
147	beet	n
148	beetle	n
149	beggar	n
150	begging	n
151	beginner	n
152	beginning	n
153	begonia	n
154	behalf	n
155	behavior	n
156	behaviorism	n
157	behaviour	n
158	beheading	n
159	behemoth	n
160	behest	n
161	beholder	n
162	beige	n
163	being	n
164	belfry	n
165	belief	n
166	believer	n
167	believing	n
168	bell	n
169	belladonna	n
170	belle	n
171	bellflower	n
172	belligerent	n
173	bellman	n
174	bellow	n
175	bellwether	n
176	belly	n
177	belonging	n
178	beloved	n
179	belt	n
180	belting	n
181	beltway	n
182	beluga	n
183	bench	n
184	benchmark	n
185	bend	n
186	bender	n
187	bending	n
188	benediction	n
189	benefactor	n
190	beneficiary	n
191	benefit	n
192	benevolence	n
193	bent	n
194	benzene	n
195	bequest	n
196	berating	n
197	bereaved	n
198	bereavement	n
199	beret	n
200	berg	n
