id	lemma	pos
1	barrel	v
2	barricade	v
3	barter	v
4	base	v
5	bash	v
6	bask	v
7	bat	v
8	batch	v
9	bathe	v
10	batten	v
11	batter	v
12	battle	v
13	bay	v
14	bayonet	v
15	beach	v
16	beacon	v
17	bead	v
18	beam	v
19	bear	v
20	beard	v
21	beat	v
22	beautify	v
23	beaver	v
24	become	v
25	bed	v
26	beef	v
27	beep	v
28	befall	v
29	befriend	v
30	beg	v
31	beggar	v
32	begin	v
33	behave	v
34	behead	v
35	behold	v
36	belay	v
37	believe	v
38	bell	v
39	bellow	v
40	belly	v
41	belong	v
42	belt	v
43	bench	v
44	bend	v
45	benefit	v
46	bequeath	v
47	berry	v
48	berth	v
49	beset	v
50	besiege	v
51	bestow	v
52	bet	v
53	betray	v
54	bevel	v
55	beware	v
56	bicker	v
57	bicycle	v
58	bid	v
59	bike	v
60	bill	v
61	billet	v
62	bin	v
63	bind	v
64	binge	v
65	birch	v
66	bird	v
67	birdie	v
68	birth	v
69	bitch	v
70	bite	v
71	bivouac	v
72	black	v
73	blackberry	v
74	blackjack	v
75	blacklist	v
76	blackmail	v
77	blame	v
78	blanch	v
79	blank	v
80	blanket	v
81	blarney	v
82	blast	v
83	blaze	v
84	blazon	v
85	bleach	v
86	bleed	v
87	bleep	v
88	blemish	v
89	blend	v
90	bless	v
91	blight	v
92	blind	v
93	blindfold	v
94	blindside	v
95	blink	v
96	blister	v
97	blitz	v
98	block	v
99	blockade	v
100	blog	v
101	blood	v
102	bloody	v
103	bloom	v
104	blossom	v
105	blot	v
106	blotch	v
107	blow	v
108	blubber	v
109	blueprint	v
110	bluff	v
111	blunder	v
112	blunt	v
113	blur	v
114	blush	v
115	board	v
116	boast	v
117	boat	v
118	bob	v
119	bobble	v
120	bobsled	v
121	bode	v
122	body	v
123	bog	v
124	bogey	v
125	boil	v
126	boldface	v
127	bolster	v
128	bolt	v
129	bomb	v
130	bombard	v
131	bond	v
132	bone	v
133	bong	v
134	boo	v
135	boogie	v
136	book	v
137	boom	v
138	boomerang	v
139	boost	v
140	boot	v
141	bootleg	v
142	bootstrap	v
143	booze	v
144	bop	v
145	border	v
146	bore	v
147	borrow	v
148	bother	v
149	bottle	v
150	bottleneck	v
151	bottom	v
152	bounce	v
153	bound	v
154	bow	v
155	bowl	v
156	box	v
157	boycott	v
158	brace	v
159	bracket	v
160	brag	v
161	braid	v
