inflected_form	lemma	pos
aah	aah	verb
aahed	aah	verb
aahing	aah	verb
aahs	aah	verb
aardvark	aardvark	noun
aardvark's	aardvark	noun
aardvarks	aardvark	noun
aardvarks'	aardvark	noun
abalone	abalone	noun
abalone's	abalone	noun
abalones	abalone	noun
abalones'	abalone	noun
abandon	abandon	noun
abandon	abandon	verb
abandon's	abandon	noun
abandoned	abandon	verb
abandoned	abandoned	adjective
abandoneder	abandoned	adjective
abandonedest	abandoned	adjective
abandoning	abandon	verb
abandonment	abandonment	noun
abandonment's	abandonment	noun
abandons	abandon	verb
abate	abate	verb
abated	abate	verb
abatement	abatement	noun
abatement's	abatement	noun
abatements	abatement	noun
abatements'	abatement	noun
abates	abate	verb
abating	abate	verb
abattoir	abattoir	noun
abattoir's	abattoir	noun
abattoirs	abattoir	noun
abattoirs'	abattoir	noun
abaya	abaya	noun
abaya's	abaya	noun
abayas	abaya	noun
abayas'	abaya	noun
abbey	abbey	noun
abbey's	abbey	noun
abbeys	abbey	noun
abbeys'	abbey	noun
abbot	abbot	noun
abbot's	abbot	noun
abbots	abbot	noun
abbots'	abbot	noun
abbreviated	abbreviated	adjective
abbreviateder	abbreviated	adjective
abbreviatedest	abbreviated	adjective
abbreviation	abbreviation	noun
abbreviation's	abbreviation	noun
abbreviations	abbreviation	noun
abbreviations'	abbreviation	noun
abc	abc	noun
abc's	abc	noun
abcs	abc	noun
abcs'	abc	noun
abdicate	abdicate	verb
abdicated	abdicate	verb
abdicates	abdicate	verb
abdicating	abdicate	verb
abdication	abdication	noun
abdication's	abdication	noun
abdications	abdication	noun
abdications'	abdication	noun
abdominal	abdominal	adjective
abdominal	abdominal	noun
abdominal's	abdominal	noun
abdominaler	abdominal	adjective
abdominalest	abdominal	adjective
abdominals	abdominal	noun
abdominals'	abdominal	noun
abduct	abduct	verb
abducted	abduct	verb
abducting	abduct	verb
abducting	abducting	adjective
abductinger	abducting	adjective
abductingest	abducting	adjective
abduction	abduction	noun
abduction's	abduction	noun
abductions	abduction	noun
abductions'	abduction	noun
abductor	abductor	noun
abductor's	abductor	noun
abductors	abductor	noun
abductors'	abductor	noun
abducts	abduct	verb
aberrant	aberrant	adjective
aberrant	aberrant	noun
aberrant's	aberrant	noun
aberranter	aberrant	adjective
aberrantest	aberrant	adjective
aberrants	aberrant	noun
aberrants'	aberrant	noun
aberration	aberration	noun
aberration's	aberration	noun
aberrations	aberration	noun
aberrations'	aberration	noun
abet	abet	verb
abets	abet	verb
